"Species_name","Note","X","X.1","X.2","X.3","X.4","X.5","cleaned_name","tnrs_original_name","tnrs_matched_name","tnrs_accepted_name","tnrs_accepted_author","tnrs_family","tnrs_powo_uri","tnrs_taxonomic_status","tnrs_overall_score","tnrs_match_type"
"Reichardia gaditana (Willk.) Cout."," Fl. Portugal: 676 (1913)","","","","","","","Reichardia gaditana (Willk.) Cout.","Reichardia gaditana (Willk.) Cout.","Reichardia gaditana","Reichardia gaditana","(Willk.) Samp.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:241233-1","Accepted",0.93056,"accepted_or_direct"
"Reichardia picroides (L.) Roth"," Bot. Abh.: 35 (1787)","","","","","","","Reichardia picroides (L.) Roth","Reichardia picroides (L.) Roth","Reichardia picroides","Reichardia picroides","(L.) Roth","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:241243-1","Accepted",1,"accepted_or_direct"
"Reseda glauca L."," Sp. Pl.: 449 (1753)","","","","","","","Reseda glauca L.","Reseda glauca L.","Reseda glauca","Reseda glauca","L.","Resedaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:715500-1","Accepted",1,"accepted_or_direct"
"Reseda lutea L."," Sp. Pl.: 449 (1753)","","","","","","","Reseda lutea L.","Reseda lutea L.","Reseda lutea","Reseda lutea","L.","Resedaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:715534-1","Accepted",1,"accepted_or_direct"
"Reseda luteola L."," Sp. Pl.: 448 (1753)","","","","","","","Reseda luteola L.","Reseda luteola L.","Reseda luteola","Reseda luteola","L.","Resedaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:715535-1","Accepted",1,"accepted_or_direct"
"Reseda media Lag."," Elench. Pl.: 17 (1816)","","","","","","","Reseda media Lag.","Reseda media Lag.","Reseda media","Reseda media","Lag.","Resedaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:715544-1","Accepted",1,"accepted_or_direct"
"Reseda phyteuma L."," Sp. Pl.: 449 (1753)","","","","","","","Reseda phyteuma L.","Reseda phyteuma L.","Reseda phyteuma","Reseda phyteuma","L.","Resedaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:715583-1","Accepted",1,"accepted_or_direct"
"Rhamnus alaternus L."," Sp. Pl.: 193 (1753) subsp. alaternus","","","","","","","Rhamnus alaternus L.","Rhamnus alaternus L.","Rhamnus alaternus","Rhamnus alaternus","L.","Rhamnaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:718169-1","Accepted",1,"accepted_or_direct"
"Rhamnus alpina L."," Sp. Pl.: 193 (1753)","","","","","","","Rhamnus alpina L.","Rhamnus alpina L.","Rhamnus alpina","Rhamnus alpina","L.","Rhamnaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:324982-2","Accepted",1,"accepted_or_direct"
"Rhamnus cathartica L."," Sp. Pl.: 193 (1753)","","","","","","","Rhamnus cathartica L.","Rhamnus cathartica L.","Rhamnus cathartica","Rhamnus cathartica","L.","Rhamnaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:718256-1","Accepted",1,"accepted_or_direct"
"Rhamnus pumila Turra"," Giorn. Ital. Sci. Nat. 1: 120 (1764) subsp. pumila","","","","","","","Rhamnus pumila Turra","Rhamnus pumila Turra","Rhamnus pumila","Rhamnus pumila","Turra","Rhamnaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:718594-1","Accepted",1,"accepted_or_direct"
"Rhaphiolepis umbellata (Thunb.) Makino"," Bot. Mag. (Tokyo) 16(179): 13-14 (1902)","","","","","","","Rhaphiolepis umbellata (Thunb.) Makino","Rhaphiolepis umbellata (Thunb.) Makino","Rhaphiolepis umbellata","Rhaphiolepis umbellata","(Thunb.) Makino","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:731413-1","Accepted",1,"accepted_or_direct"
"Rhaponticum coniferum (L.) Greuter"," Willdenowia 33: 61 (2003)","","","","","","","Rhaponticum coniferum (L.) Greuter","Rhaponticum coniferum (L.) Greuter","Rhaponticum coniferum","Rhaponticum coniferum","(L.) Greuter","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:70029200-1","Accepted",1,"accepted_or_direct"
"Rhinanthus minor L."," Amoen. Acad. 3: 54 (1756)","","","","","","","Rhinanthus minor L.","Rhinanthus minor L.","Rhinanthus minor","Rhinanthus minor","L.","Orobanchaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30116962-2","Accepted",1,"accepted_or_direct"
"Rhinanthus angustifolius C. C. Gmel."," Fl. Bad. 2: 669. 1806. 1806","","","","","","","Rhinanthus angustifolius C. C. Gmel.","Rhinanthus angustifolius C. C. Gmel.","Rhinanthus angustifolius","Rhinanthus major var. major","","Orobanchaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:808716-1","Synonym",1,"synonym_to_accepted"
"Rhododendron catawbiense Michx."," Fl. Bor.-Amer. 1: 258 (1803)","","","","","","","Rhododendron catawbiense Michx.","Rhododendron catawbiense Michx.","Rhododendron catawbiense","Rhododendron catawbiense","Michx.","Ericaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:332124-1","Accepted",1,"accepted_or_direct"
"Rhododendron japonicum (A.Gray) Suringar ex E.H.Wilson"," Gartenflora 57(19): 517 (1908)","","","","","","","Rhododendron japonicum (A.Gray) Suringar ex E.H.Wilson","Rhododendron japonicum (A.Gray) Suringar ex E.H.Wilson","Rhododendron japonicum","Rhododendron japonicum","(A.Gray) Suringar","Ericaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60454333-2","Accepted",0.93906,"accepted_or_direct"
"Rhododendron molle (Blume) G.Don"," Gen. Hist. 3: 846 (1834)","","","","","","","Rhododendron molle (Blume) G.Don","Rhododendron molle (Blume) G.Don","Rhododendron molle","Rhododendron molle","(Blume) G.Don","Ericaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:332902-1","Accepted",1,"accepted_or_direct"
"Rhododendron ponticum L."," Sp. Pl."," ed. 2: 562 (1762)","","","","","","Rhododendron ponticum L.","Rhododendron ponticum L.","Rhododendron ponticum","Rhododendron ponticum","L.","Ericaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:333114-1","Accepted",1,"accepted_or_direct"
"Rhus coriaria L."," Sp. Pl.: 265 (1753)","","","","","","","Rhus coriaria L.","Rhus coriaria L.","Rhus coriaria","Rhus coriaria","L.","Anacardiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:70477-1","Accepted",1,"accepted_or_direct"
"Rhus typhina L."," Cent. Pl. II: 14 (1756)","","","","","","","Rhus typhina L.","Rhus typhina L.","Rhus typhina","Rhus typhina","L.","Anacardiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:70939-1","Accepted",1,"accepted_or_direct"
"Rhynchospora alba (L.) Vahl"," Enum. Pl. 2: 236 (1805)","","","","","","","Rhynchospora alba (L.) Vahl","Rhynchospora alba (L.) Vahl","Rhynchospora alba","Rhynchospora alba","(L.) Vahl","Cyperaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1070770-2","Accepted",1,"accepted_or_direct"
"Rhynchospora fusca (L.) W.T.Aiton"," Hort. Kew."," ed. 2"," 1: 127 (1810)","","","","","Rhynchospora fusca (L.) W.T.Aiton","Rhynchospora fusca (L.) W.T.Aiton","Rhynchospora fusca","Rhynchospora fusca","(L.) W.T.Aiton","Cyperaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1055567-2","Accepted",1,"accepted_or_direct"
"Ribes alpinum L."," Sp. Pl.: 200 (1753)","","","","","","","Ribes alpinum L.","Ribes alpinum L.","Ribes alpinum","Ribes alpinum","L.","Grossulariaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:792549-1","Accepted",1,"accepted_or_direct"
"Ribes nigrum L."," Sp. Pl.: 201 (1753)","","","","","","","Ribes nigrum L.","Ribes nigrum L.","Ribes nigrum","Ribes nigrum","L.","Grossulariaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:792873-1","Accepted",1,"accepted_or_direct"
"Ribes petraeum Wulfen"," in Jacq."," Misc. Austriac. 2: 36 (1781)","","","","","","Ribes petraeum Wulfen","Ribes petraeum Wulfen","Ribes petraeum","Ribes petraeum","Wulfen","Grossulariaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:792921-1","Accepted",1,"accepted_or_direct"
"Ribes rubrum L."," Sp. Pl.: 200 (1753)","","","","","","","Ribes rubrum L.","Ribes rubrum L.","Ribes rubrum","Ribes rubrum","L.","Grossulariaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:792965-1","Accepted",1,"accepted_or_direct"
"Ribes sanguineum Pursh"," Fl. Am. Sept. 1: 164 (1814)","","","","","","","Ribes sanguineum Pursh","Ribes sanguineum Pursh","Ribes sanguineum","Ribes sanguineum","Pursh","Grossulariaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:317405-2","Accepted",1,"accepted_or_direct"
"Ribes uva-crispa L."," Sp. Pl.: 201 (1753)","","","","","","","Ribes uva-crispa L.","Ribes uva-crispa L.","Ribes uva-crispa","Ribes uva-crispa","L.","Grossulariaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:793052-1","Accepted",0.9,"accepted_or_direct"
"Ricinus communis L."," Sp. Pl.: 1007 (1753)","","","","","","","Ricinus communis L.","Ricinus communis L.","Ricinus communis","Ricinus communis","L.","Euphorbiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:355498-1","Accepted",1,"accepted_or_direct"
"Rivasmartinezia vazquezii Fern.Prieto & Cires"," Pl. Biosyst. [ISSN: 1724-5575 (Online)] (19 Aug 2013) DOI: 10.1080/11263504.2013.819818","","","","","","","Rivasmartinezia vazquezii Fern.Prieto & Cires","Rivasmartinezia vazquezii Fern.Prieto & Cires","Rivasmartinezia vazquezii","Rivasmartinezia vazquezii","Fern.Prieto & Cires","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77144571-1","Accepted",1,"accepted_or_direct"
"Robinia pseudoacacia L."," Sp. Pl.: 722 (1753)","","","","","","","Robinia pseudoacacia L.","Robinia pseudoacacia L.","Robinia pseudoacacia","Robinia pseudoacacia","L.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30034699-2","Accepted",1,"accepted_or_direct"
"Rodgersia aesculifolia Batalin"," Trudy Imp. S.-Peterburgsk. Bot. Sada 13(1): 96 (1893)","","","","","","","Rodgersia aesculifolia Batalin","Rodgersia aesculifolia Batalin","Rodgersia aesculifolia","Rodgersia aesculifolia","Batalin","Saxifragaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:793117-1","Accepted",1,"accepted_or_direct"
"Rodgersia podophylla A.Gray"," Mem. Amer. Acad. Arts"," ser. 2"," 6(1): 389 (1858)","","","","","Rodgersia podophylla A.Gray","Rodgersia podophylla A.Gray","Rodgersia podophylla","Rodgersia podophylla","A.Gray","Saxifragaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:793122-1","Accepted",1,"accepted_or_direct"
"Rodgersia sambucifolia Hemsl."," Gard. Chron. 39: 115 (1906)","","","","","","","Rodgersia sambucifolia Hemsl.","Rodgersia sambucifolia Hemsl.","Rodgersia sambucifolia","Rodgersia sambucifolia","Hemsl.","Saxifragaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:793124-1","Accepted",1,"accepted_or_direct"
"Roemeria hybrida (L.) DC."," Syst. Nat. 2: 92 (1821)","","","","","","","Roemeria hybrida (L.) DC.","Roemeria hybrida (L.) DC.","Roemeria hybrida","Roemeria hybrida","(L.) DC.","Papaveraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:63003-3","Accepted",1,"accepted_or_direct"
"Romulea bulbocodium (L.) Sebast. & Mauri"," Fl. Roman. Prodr.: 17 (1818)","","","","","","","Romulea bulbocodium (L.) Sebast. & Mauri","Romulea bulbocodium (L.) Sebast. & Mauri","Romulea bulbocodium","Romulea bulbocodium","(L.) Sebast. & Mauri","Iridaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:440687-1","Accepted",1,"accepted_or_direct"
"Romulea clusiana (Lange) Nyman"," Suppl. Syll. Fl. Eur.: 62 (1865)","","","","","","","Romulea clusiana (Lange) Nyman","Romulea clusiana (Lange) Nyman","Romulea clusiana","Romulea clusiana","(Lange) Nyman","Iridaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:440702-1","Accepted",1,"accepted_or_direct"
"Romulea columnae Sebast. & Mauri"," Fl. Roman. Prodr.: 18 (1818) subsp. columnae","","","","","","","Romulea columnae Sebast. & Mauri","Romulea columnae Sebast. & Mauri","Romulea columnae","Romulea columnae","Sebast. & Mauri","Iridaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:440703-1","Accepted",1,"accepted_or_direct"
"Rorippa islandica (Gunnerus) Borb," Balaton N,"","","","","","","Rorippa islandica (Gunnerus) Borb�s","Rorippa islandica (Gunnerus) Borb�s","Rorippa islandica","Rorippa islandica","(Oeder) Borbás","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:288759-1","Accepted",0.8875,"accepted_or_direct"
"Rorippa palustris (L.) Besser"," Enum. Pl.: 27 (1821)","","","","","","","Rorippa palustris (L.) Besser","Rorippa palustris (L.) Besser","Rorippa palustris","Rorippa palustris","(L.) Besser","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:288669-1","Accepted",1,"accepted_or_direct"
"Rorippa pyrenaica (All.) Rchb."," Icon. Fl. Germ. Helv. 2: 15 (1838)","","","","","","","Rorippa pyrenaica (All.) Rchb.","Rorippa pyrenaica (All.) Rchb.","Rorippa pyrenaica","Rorippa pyrenaica","(All.) Rchb.","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:288679-1","Accepted",1,"accepted_or_direct"
"Rosa agrestis Savi"," Fl. Pis. 1: 475 (1798)","","","","","","","Rosa agrestis Savi","Rosa agrestis Savi","Rosa agrestis","Rosa agrestis","Savi","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:731498-1","Accepted",1,"accepted_or_direct"
"Rosa andegavensis Bastard"," Essai Fl. Maine & Loire: 189 (1809)","","","","","","","Rosa andegavensis Bastard","Rosa andegavensis Bastard","Rosa andegavensis","Rosa x andegavensis","Bastard","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:731577-1","Accepted",1,"accepted_or_direct"
"Rosa arvensis Huds."," Fl. Angl.: 192 (1762)","","","","","","","Rosa arvensis Huds.","Rosa arvensis Huds.","Rosa arvensis","Rosa arvensis","Huds.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:731660-1","Accepted",1,"accepted_or_direct"
"Rosa banksiae W.T.Aiton"," Hort. Kew."," ed. 2"," 3: 258 (1811)","","","","","Rosa banksiae W.T.Aiton","Rosa banksiae W.T.Aiton","Rosa banksiae","Rosa banksiae","R.Br.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:731723-1","Accepted",0.82806,"accepted_or_direct"
"Rosa blondaeana Ripart ex D," M,"","","","","","","Rosa blondaeana Ripart ex D�s�gl.","Rosa blondaeana Ripart ex D�s�gl.","Rosa blondaeana","Rosa x nitidula","Besser","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:731807-1","Synonym",0.95282,"synonym_to_accepted"
"Rosa canina L."," Sp. Pl.: 491 (1753)","","","","","","","Rosa canina L.","Rosa canina L.","Rosa canina","Rosa canina","L.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:731955-1","Accepted",1,"accepted_or_direct"
"Rosa coriifolia Fr."," Novit. Fl. Suec.: 33 (1814)","","","","","","","Rosa coriifolia Fr.","Rosa coriifolia Fr.","Rosa coriifolia","Rosa caesia","Sm.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:732168-1","Synonym",1,"synonym_to_accepted"
"Rosa corymbifera Borkh."," Vers. Forstbot. Beschr.: 319-320 (1790)","","","","","","","Rosa corymbifera Borkh.","Rosa corymbifera Borkh.","Rosa corymbifera","Rosa corymbifera","Borkh.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:732177-1","Accepted",1,"accepted_or_direct"
"Rosa deseglisei Boreau"," Fl. Centre France"," ed. 3"," 2: 224 (1857)","","","","","Rosa deseglisei Boreau","Rosa deseglisei Boreau","Rosa deseglisei","Rosa deseglisei","Boreau","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:732275-1","Accepted",1,"accepted_or_direct"
"Rosa ferruginea Vill."," Prosp. Hist. Pl. Dauphin,"","","","","","","Rosa ferruginea Vill.","Rosa ferruginea Vill.","Rosa ferruginea","Rosa glauca","Pourr.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:732463-1","Synonym",1,"synonym_to_accepted"
"Rosa gallica L."," Sp. Pl.: 492 (1753)","","","","","","","Rosa gallica L.","Rosa gallica L.","Rosa gallica","Rosa gallica","L.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:732569-1","Accepted",1,"accepted_or_direct"
"Rosa micrantha Borrer ex Sm."," in Sowerby"," Engl. Bot. 35: t. 2490 (1812)","","","","","","Rosa micrantha Borrer ex Sm.","Rosa micrantha Borrer ex Sm.","Rosa micrantha","Rosa micrantha","Borrer ex Sm.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:733289-1","Accepted",1,"accepted_or_direct"
"Rosa nitidula Besser"," Cat. Jard. Bot. Krzemieniec"," suppl. 4: 20 (1815)","","","","","","Rosa nitidula Besser","Rosa nitidula Besser","Rosa nitidula","Rosa x nitidula","Besser","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:733470-1","Accepted",1,"accepted_or_direct"
"Rosa obtusifolia Desv."," J. Bot. (Desvaux) 2(5): 317-318 (1809)","","","","","","","Rosa obtusifolia Desv.","Rosa obtusifolia Desv.","Rosa obtusifolia","Rosa corymbifera","Borkh.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:733511-1","Synonym",1,"synonym_to_accepted"
"Rosa pendulina L."," Sp. Pl.: 492 (1753)","","","","","","","Rosa pendulina L.","Rosa pendulina L.","Rosa pendulina","Rosa pendulina","L.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:733641-1","Accepted",1,"accepted_or_direct"
"Rosa pouzinii Tratt."," Rosac. Monogr. 2: 112 (1823)","","","","","","","Rosa pouzinii Tratt.","Rosa pouzinii Tratt.","Rosa pouzinii","Rosa pouzinii","Tratt.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:733754-1","Accepted",1,"accepted_or_direct"
"Rosa rugosa Thunb."," in Murray"," Syst. Veg."," ed. 14: 473 (1784)","","","","","Rosa rugosa Thunb.","Rosa rugosa Thunb.","Rosa rugosa","Rosa rugosa","Thunb.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:927373-1","Accepted",1,"accepted_or_direct"
"Rosa sempervirens L."," Sp. Pl.: 492 (1753)","","","","","","","Rosa sempervirens L.","Rosa sempervirens L.","Rosa sempervirens","Rosa sempervirens","L.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:734215-1","Accepted",1,"accepted_or_direct"
"Rosa spinosissima L."," Sp. Pl.: 491 (1753)","","","","","","","Rosa spinosissima L.","Rosa spinosissima L.","Rosa spinosissima","Rosa spinosissima","L.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:324822-2","Accepted",1,"accepted_or_direct"
"Rosa squarrosa (A.Rau) Boreau"," Fl. Centre France"," ed. 3"," 2: 222 (1857)","","","","","Rosa squarrosa (A.Rau) Boreau","Rosa squarrosa (A.Rau) Boreau","Rosa squarrosa","Rosa squarrosa","(A.Rau) Boreau","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60473660-2","Accepted",1,"accepted_or_direct"
"Rosa stylosa Desv."," J. Bot. (Desvaux) 2: 317 (1809)","","","","","","","Rosa stylosa Desv.","Rosa stylosa Desv.","Rosa stylosa","Rosa stylosa","Desv.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:734357-1","Accepted",1,"accepted_or_direct"
"Rosa tomentosa Sm."," Fl. Brit. 2: 539 (1800)","","","","","","","Rosa tomentosa Sm.","Rosa tomentosa Sm.","Rosa tomentosa","Rosa tomentosa","Sm.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:734524-1","Accepted",1,"accepted_or_direct"
"Rosa villosa L."," Sp. Pl.: 491 (1753)","","","","","","","Rosa villosa L.","Rosa villosa L.","Rosa villosa","Rosa villosa","L.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:734665-1","Accepted",1,"accepted_or_direct"
"Rosmarinus officinalis L."," Sp. Pl.: 23 (1753)","","","","","","","Rosmarinus officinalis L.","Rosmarinus officinalis L.","Rosmarinus officinalis","Salvia rosmarinus","Spenn.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:455509-1","Synonym",1,"synonym_to_accepted"
"Rostraria cristata (L.) Tzvelev"," Novosti Sist. Vys,"","","","","","","Rostraria cristata (L.) Tzvelev","Rostraria cristata (L.) Tzvelev","Rostraria cristata","Rostraria cristata","(L.) Tzvelev","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:419582-1","Accepted",1,"accepted_or_direct"
"Rubia peregrina L."," Sp. Pl.: 109 (1753)","","","","","","","Rubia peregrina L.","Rubia peregrina L.","Rubia peregrina","Rubia peregrina","L.","Rubiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:765320-1","Accepted",1,"accepted_or_direct"
"Rubus caesius L."," Sp. Pl.: 493 (1753)","","","","","","","Rubus caesius L.","Rubus caesius L.","Rubus caesius","Rubus caesius","L.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:735608-1","Accepted",1,"accepted_or_direct"
"Rubus castroviejoi Mon.-Huelin"," Bot. J. Linn. Soc. 115(1): 52 (1994)","","","","","","","Rubus castroviejoi Mon.-Huelin","Rubus castroviejoi Mon.-Huelin","Rubus castroviejoi","Rubus castroviejoi","Mon.-Huelin","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:978014-1","Accepted",1,"accepted_or_direct"
"Rubus cyclops Mon.-Huelin"," Bot. J. Linn. Soc. 115: 50 (1994)","","","","","","","Rubus cyclops Mon.-Huelin","Rubus cyclops Mon.-Huelin","Rubus cyclops","Rubus cyclops","Mon.-Huelin","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:978013-1","Accepted",1,"accepted_or_direct"
"Rubus galloecicus Pau"," Bol. Soc. Aragonesa Ci. Nat. 4(9): 293 (1905)","","","","","","","Rubus galloecicus Pau","Rubus galloecicus Pau","Rubus galloecicus","Rubus galloecicus","Pau","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:736983-1","Accepted",1,"accepted_or_direct"
"Rubus henriquesii Samp."," Revista Sci. Lett. Porto 1(4): 57-59 (1903)","","","","","","","Rubus henriquesii Samp.","Rubus henriquesii Samp.","Rubus henriquesii","Rubus henriquesii","Samp.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:737299-1","Accepted",1,"accepted_or_direct"
"Rubus hirtus Walds. & Kit."," Descr. Icon. Pl. Hung. 2: 150-151"," tab. 141 (1803-1804)","","","","","","Rubus hirtus Walds. & Kit.","Rubus hirtus Walds. & Kit.","Rubus hirtus","Rubus hirtus","Waldst. & Kit.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:737375-1","Accepted",0.97546,"accepted_or_direct"
"Rubus idaeus L."," Sp. Pl.: 492 (1753)","","","","","","","Rubus idaeus L.","Rubus idaeus L.","Rubus idaeus","Rubus idaeus","L.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298089-2","Accepted",1,"accepted_or_direct"
"Rubus lainzii H.E.Weber"," Anales Jard. Bot. Madrid 47(2): 333 (1990)","","","","","","","Rubus lainzii H.E.Weber","Rubus lainzii H.E.Weber","Rubus lainzii","Rubus lainzii","H.E.Weber","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:940556-1","Accepted",1,"accepted_or_direct"
"Rubus radula Weihe"," in Boenn."," Prodr. Fl. Monast. Westphal.: 152 (1824)","","","","","","Rubus radula Weihe","Rubus radula Weihe","Rubus radula","Rubus radula","Weihe","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:739634-1","Accepted",1,"accepted_or_direct"
"Rubus sampaioanus Sudre ex Samp."," Rubus Port.: 32-33 (1904)","","","","","","","Rubus sampaioanus Sudre ex Samp.","Rubus sampaioanus Sudre ex Samp.","Rubus sampaioanus","Rubus sampaioanus","Sudre ex Samp.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:739959-1","Accepted",1,"accepted_or_direct"
"Rubus saxatilis L."," Sp. Pl.: 494 (1753)","","","","","","","Rubus saxatilis L.","Rubus saxatilis L.","Rubus saxatilis","Rubus saxatilis","L.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:739981-1","Accepted",1,"accepted_or_direct"
"Rubus ulmifolius Schott"," Isis (Oken) 2(5): 821 (1818)","","","","","","","Rubus ulmifolius Schott","Rubus ulmifolius Schott","Rubus ulmifolius","Rubus ulmifolius","Schott","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:740982-1","Accepted",1,"accepted_or_direct"
"Rubus vestitus Weihe"," in Bluff & Fingerhuth"," Comp. Fl. German. 1: 684 (1825)","","","","","","Rubus vestitus Weihe","Rubus vestitus Weihe","Rubus vestitus","Rubus vestitus","Weihe","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:741131-1","Accepted",1,"accepted_or_direct"
"Rubus vigoi R.Rosell," Peris & St," Fontqueria 36: 375 (1993)","","","","","","Rubus vigoi R.Rosell�","Rubus vigoi R.Rosell�","Rubus vigoi","Rubus vigoi","Roselló, Peris & Stübing","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:968978-1","Accepted",0.8655,"accepted_or_direct"
"Rumex acetosa L."," Sp. Pl.: 337 (1753) subsp. acetosa (nom. cons.)","","","","","","","Rumex acetosa L.","Rumex acetosa L.","Rumex acetosa","Rumex acetosa","L.","Polygonaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:332105-2","Accepted",1,"accepted_or_direct"
"Rumex acetosa L. subsp. biformis (Lange) Castrov. & Vald," Anales Inst. Bot. Cavanilles 34(1): 326 (1977)","","","","","","","Rumex acetosa L. subsp. biformis (Lange) Castrov. & Vald�s Berm.","Rumex acetosa L. subsp. biformis (Lange) Castrov. & Vald�s Berm.","Rumex acetosa subsp. biformis","Rumex acetosa subsp. acetosa","","Polygonaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2424177-4","Invalid",0.9856,"fuzzy_auto"
